interviewMode,weights,PRE_VotePresident,approvalOfPresidentCovidResponse,PRE_RaceOutcomePrediction,PRE_ThermoBiden,PRE_ThermoTrump,PRE_ThermoHarris,PRE_ThermoPence,PRE_ThermoObama,PRE_ThermoDemParty,PRE_ThermoRepParty,PRE_ParentNativeStatus,PRE_YearsAtAddress,Sex,PRE_SummaryVoteDutyChoice,PRE_PartyID,PRE_ScaleSpendingServices,PRE_CountryDirection,PRE_GovTrust,PRE_EconomyView,PRE_AbortionRightsSC,Age,EducationLevel,WorkStatus,Income,Race,StateRegistration,HouseholdChildren,PRE_PartyMoreHouseMembers,PRE_FederalSpendingKnowledge,PRE_VoteAccuracy,PRE_SurveySeriousness,PRE_ScaleDefenseSpending,PRE_ScaleMedInsurance,PRE_CorruptionView,PRE_ScaleGovAssistanceBlacks,PRE_ScaleJobIncome,POST_Voted2020,POST_VotePresident,POST_VoteAccuracy,POST_ThermoHarris,POST_ThermoPence,POST_ThermoBiden,POST_ThermoTrump,POST_ProblemMention,mentionFox,mentionABC,mentionCNN
3,1.01,2,1,2,0,100,0,85,0,0,85,2,10.0,1,1,7,1,3,5,2,1,46.0,6,1,21,3,40,0,1,0,3,5,7,7,2,7,7,1,2,2,0,85,0,100,32,0,0,0
3,1.16,3,3,1,0,0,0,0,50,0,50,1,4.0,2,4,4,3,1,5,3,2,37.0,3,1,13,4,16,1,2,0,2,5,4,4,3,4,5,2,3,2,0,0,15,15,81,0,0,0
3,0.77,1,4,2,65,0,65,0,90,60,0,1,11.0,2,4,3,6,1,4,4,2,40.0,2,2,17,1,51,2,1,1,3,5,1,2,1,3,4,2,1,1,80,0,85,0,47,0,0,1
3,0.52,1,4,2,70,15,85,15,85,50,70,3,20.0,1,1,6,7,2,3,4,3,41.0,4,1,7,4,6,1,2,1,4,5,4,1,1,3,7,2,1,1,85,50,100,60,82,0,0,0
3,0.97,2,3,1,15,85,15,90,10,20,70,1,10.0,1,1,4,2,4,5,4,1,72.0,8,2,22,5,8,0,1,1,2,5,4,5,1,6,7,2,2,3,0,95,0,90,83,1,0,0
3,0.23,1,4,1,85,0,85,0,60,85,15,1,2.0,2,6,3,4,1,4,3,3,71.0,3,2,3,1,48,0,1,0,3,5,5,3,1,3,4,2,1,2,85,15,100,0,82,0,0,1
3,0.44,2,1,2,50,75,15,75,15,15,75,1,2.0,2,5,6,7,4,4,4,1,37.0,4,1,4,1,55,3,2,1,2,5,7,1,2,7,7,2,2,3,0,70,0,70,32,0,1,0
3,0.77,2,1,2,50,100,50,50,50,50,100,1,1.0,2,7,6,7,4,1,3,3,45.0,2,2,3,1,28,0,2,0,5,1,7,7,3,7,7,1,2,5,52,70,50,0,83,0,0,1
3,1.42,1,4,1,85,0,85,0,60,75,12,1,10.0,2,6,4,6,3,3,3,2,70.0,2,2,10,1,4,0,2,0,3,4,4,6,3,3,5,2,1,2,85,0,85,0,48,0,1,1
3,1.84,1,4,2,85,0,50,50,100,60,50,3,24.0,1,7,2,4,1,3,4,3,43.0,4,1,11,3,6,0,2,0,3,5,4,3,3,4,4,2,1,3,70,50,70,30,82,0,0,0
