iter	Logloss
0	0.6650560619
1	0.6435000085
2	0.6243034873
3	0.6101947914
4	0.597621896
5	0.588240438
6	0.5803218945
7	0.5729091843
8	0.5661455612
9	0.5612227701
10	0.5568390158
11	0.5531053796
12	0.5494066446
13	0.546191845
14	0.5431681632
15	0.5404479188
16	0.5379962473
17	0.5348820095
18	0.5325799966
19	0.5306486985
20	0.5287641542
21	0.5268617982
22	0.5251289829
23	0.523560474
24	0.5222611742
25	0.520573325
26	0.5190919471
27	0.5175515104
28	0.5166492066
29	0.5149825968
30	0.5135421427
31	0.5124937125
32	0.5111400092
33	0.5102700394
34	0.5087759262
35	0.5072061972
36	0.5061641916
37	0.5050038983
38	0.503573003
39	0.5022519923
40	0.5015310469
41	0.5005220534
42	0.4998122626
43	0.4989523544
44	0.4981453327
45	0.4973189518
46	0.4963988156
47	0.4955534395
48	0.4948267984
49	0.4941120924
50	0.4931035093
51	0.4922378732
52	0.4914564006
53	0.4906080031
54	0.4894886342
55	0.4889413311
56	0.4883831932
57	0.4873019473
58	0.4863280765
59	0.4857452202
60	0.4848307738
61	0.4840241616
62	0.4832034125
63	0.482298548
64	0.4816687994
65	0.4811980925
66	0.4804298458
67	0.4795170684
68	0.4788110154
69	0.4782512385
70	0.47779584
71	0.4771903678
72	0.4764561887
73	0.4760378085
74	0.4756080845
75	0.4748336438
76	0.4741553534
77	0.4734957733
78	0.4726868888
79	0.4720753982
80	0.4712652229
81	0.4705720434
82	0.4698696961
83	0.4695348852
84	0.4689504707
85	0.4682010553
86	0.4676913632
87	0.4668936835
88	0.4663297428
89	0.4657842747
90	0.4652654456
91	0.4646344208
92	0.4641997834
93	0.4634854078
94	0.4626878659
95	0.4622006535
96	0.4616140396
97	0.4608582282
98	0.460381438
99	0.4598566394
100	0.4592845646
101	0.4584697429
102	0.4575710135
103	0.456802137
104	0.4563178661
105	0.4556330071
106	0.4546959848
107	0.4539665883
108	0.4531317936
109	0.4522638136
110	0.4515224266
111	0.451047983
112	0.4506833017
113	0.4498750128
114	0.44939949
115	0.4485483414
116	0.447974774
117	0.4469640913
118	0.4461076075
119	0.4453802694
120	0.4447916847
121	0.444249848
122	0.443412186
123	0.4427969144
124	0.4420220013
125	0.4416835996
126	0.4407695285
127	0.4400058125
128	0.4393148151
129	0.4384711684
130	0.4378325181
131	0.4371774313
132	0.4361743831
133	0.435490576
134	0.4347807503
135	0.4338328388
136	0.4332594397
137	0.4324969391
138	0.4317617704
139	0.4311542992
140	0.4306705063
141	0.4301013141
142	0.4294921053
143	0.4287373555
144	0.4283212022
145	0.4275710166
146	0.4270673462
147	0.4264378678
148	0.42568027
149	0.4251405339
150	0.424359631
151	0.423771197
152	0.4230876617
153	0.4224207223
154	0.4217222655
155	0.4208128594
156	0.4202840251
157	0.4196933571
158	0.4190604619
159	0.418592887
160	0.4179318872
161	0.4174503039
162	0.4168092185
163	0.4162742328
164	0.4158776382
165	0.4154463422
166	0.4146066557
167	0.4139937237
168	0.4134291122
169	0.4128562118
170	0.4122282835
171	0.4117794933
172	0.4111534744
173	0.4105464273
174	0.4099450431
175	0.4093739537
176	0.4085692556
177	0.4080011251
178	0.4071499076
179	0.4063167545
180	0.4058844937
181	0.4055021814
182	0.404942652
183	0.4045170502
184	0.4040309225
185	0.4032118002
186	0.4024269547
187	0.4017346945
188	0.4012047766
189	0.4006574721
190	0.4002876327
191	0.3998899745
192	0.3993836717
193	0.3988671975
194	0.3984896813
195	0.3977991594
196	0.3972362683
197	0.3968552634
198	0.3961122742
199	0.3954864301
200	0.3949311062
201	0.3946079846
202	0.394016821
203	0.3935716232
204	0.3929894352
205	0.3921850011
206	0.39185487
207	0.3913825763
208	0.3910349206
209	0.3905302496
210	0.3898177947
211	0.3890830016
212	0.3884909948
213	0.3879463855
214	0.3872038408
215	0.3867578516
216	0.3860089773
217	0.3855799295
218	0.3850630354
219	0.384711101
220	0.3839987944
221	0.3836618932
222	0.3830861445
223	0.3825383936
224	0.3819404711
225	0.3814225394
226	0.3810220241
227	0.3806669561
228	0.3804427156
229	0.3799895828
230	0.3793503392
231	0.3790269944
232	0.3784608247
233	0.3780014336
234	0.3775025095
235	0.3770118926
236	0.3765481269
237	0.3761656902
238	0.3757095869
239	0.3750537813
240	0.374610805
241	0.3740552609
242	0.3736416988
243	0.373089879
244	0.3727311868
245	0.3721295068
246	0.3718906237
247	0.3714662986
248	0.3712021208
249	0.3707016381
250	0.3701883623
251	0.3698148224
252	0.3691813053
253	0.3687991863
254	0.3682618401
255	0.3678989636
256	0.3674710581
257	0.3668912359
258	0.3664799461
259	0.3659823361
260	0.3654990997
261	0.3650002349
262	0.3646985185
263	0.3643057802
264	0.363588682
265	0.3632115431
266	0.3626283625
267	0.3622582273
268	0.3620125058
269	0.3615250929
270	0.3611717383
271	0.3607344527
272	0.3604154402
273	0.3598959684
274	0.3592153294
275	0.358736308
276	0.358124779
277	0.3574934341
278	0.3571397753
279	0.3566264488
280	0.3561505319
281	0.3555050069
282	0.3552546956
283	0.3548667923
284	0.3543927221
285	0.353801332
286	0.3533002047
287	0.353024598
288	0.3526506911
289	0.352379687
290	0.3518440839
291	0.3515198809
292	0.3509124709
293	0.3503965835
294	0.3499850438
295	0.3495418679
296	0.3491065742
297	0.3488311578
298	0.3483909806
299	0.347875832
