iter	Passed	Remaining
0	55	82860
1	113	84864
2	170	85305
3	232	86778
4	290	86831
5	350	87286
6	415	88583
7	477	88999
8	536	88839
9	597	89009
10	652	88271
11	710	88096
12	773	88475
13	830	88126
14	887	87899
15	945	87740
16	1001	87370
17	1057	87096
18	1113	86790
19	1176	87071
20	1247	87886
21	1302	87503
22	1354	86958
23	1407	86580
24	1464	86400
25	1519	86128
26	1573	85840
27	1628	85604
28	1700	86238
29	1769	86724
30	1823	86397
31	1874	85973
32	1925	85611
33	1986	85639
34	2049	85769
35	2100	85401
36	2162	85502
37	2227	85711
38	2278	85337
39	2327	84939
40	2375	84526
41	2426	84220
42	2481	84090
43	2532	83803
44	2581	83473
45	2632	83215
46	2682	82940
47	2728	82539
48	2789	82597
49	2842	82445
50	2897	82329
51	2955	82295
52	3028	82671
53	3102	83067
54	3185	83701
55	3263	84143
56	3323	84126
57	3373	83866
58	3434	83890
59	3504	84104
60	3566	84141
61	3627	84125
62	3677	83885
63	3728	83656
64	3776	83374
65	3847	83594
66	3912	83671
67	3970	83624
68	4027	83516
69	4077	83290
70	4127	83066
71	4177	82860
72	4232	82740
73	4287	82617
74	4336	82393
75	4391	82277
76	4452	82278
77	4516	82333
78	4571	82225
79	4621	82033
80	4673	81872
81	4722	81667
82	4772	81475
83	4820	81264
84	4887	81366
85	4942	81268
86	5017	81488
87	5098	81803
88	5149	81644
89	5200	81475
90	5251	81311
91	5310	81274
92	5364	81157
93	5431	81237
94	5495	81280
95	5549	81166
96	5598	80977
97	5649	80819
98	5696	80616
99	5744	80426
100	5792	80234
101	5849	80176
102	5932	80461
103	5999	80531
104	6074	80703
105	6134	80674
106	6194	80638
107	6245	80500
108	6294	80329
109	6350	80247
110	6412	80242
111	6459	80055
112	6504	79842
113	6556	79708
114	6611	79620
115	6668	79562
116	6726	79508
117	6782	79436
118	6831	79280
119	6880	79121
120	6927	78955
121	6977	78812
122	7029	78697
123	7080	78571
124	7132	78462
125	7219	78723
126	7286	78775
127	7337	78653
128	7389	78535
129	7453	78551
130	7527	78660
131	7578	78543
132	7629	78418
133	7681	78304
134	7738	78239
135	7811	78340
136	7884	78438
137	7937	78337
138	7993	78271
139	8043	78134
140	8092	77997
141	8149	77936
142	8206	77875
143	8257	77756
144	8314	77697
145	8367	77603
146	8424	77539
147	8477	77440
148	8532	77361
149	8583	77248
150	8634	77134
151	8684	77015
152	8735	76910
153	8787	76805
154	8837	76682
155	8888	76580
156	8940	76475
157	8984	76311
158	9033	76192
159	9084	76084
160	9134	75970
161	9189	75901
162	9258	75946
163	9343	76112
164	9416	76192
165	9473	76127
166	9600	76632
167	9667	76652
168	9717	76528
169	9770	76439
170	9876	76758
171	9965	76946
172	10024	76894
173	10082	76838
174	10140	76774
175	10199	76727
176	10252	76635
177	10304	76529
178	10355	76423
179	10406	76314
180	10452	76170
181	10501	76052
182	10556	75973
183	10606	75860
184	10657	75753
185	10707	75646
186	10763	75571
187	10812	75459
188	10865	75366
189	10922	75304
190	10982	75269
191	11040	75210
192	11112	75256
193	11174	75223
194	11230	75158
195	11309	75239
196	11369	75203
197	11419	75090
198	11477	75036
199	11530	74946
200	11577	74821
201	11629	74728
202	11681	74636
203	11731	74530
204	11782	74430
205	11833	74334
206	11902	74350
207	11958	74279
208	12010	74186
209	12077	74188
210	12134	74129
211	12199	74119
212	12252	74030
213	12301	73926
214	12358	73863
215	12408	73764
216	12462	73686
217	12519	73624
218	12571	73535
219	12626	73462
220	12689	73437
221	12750	73402
222	12808	73347
223	12864	73279
224	12914	73183
225	12964	73082
226	13015	72987
227	13063	72883
228	13112	72777
229	13162	72678
230	13213	72590
231	13264	72499
232	13313	72397
233	13362	72292
234	13411	72195
235	13468	72134
