Total population,Total citizen population,Total registered,"Percent registered
(Total)",Registered-Margin of error 1,"Percent registered
(Citizen)",Registered-Margin of error 1.1,Total voted,"Percent voted
(Total)",Voted-Margin of error 1,"Percent voted
(Citizen)",Voted-Margin of error 1.1
"252,274","231,593","168,308",66.7,0.4,72.7,0.4,"154,628",61.3,0.4,66.8,0.4
"121,870","111,485","79,340",65.1,0.5,71.2,0.5,"72,474",59.5,0.5,65,0.5
"130,404","120,108","88,968",68.2,0.5,74.1,0.5,"82,154",63,0.5,68.4,0.5
"195,227","181,891","134,889",69.1,0.4,74.2,0.4,"124,301",63.7,0.4,68.3,0.4
"157,442","154,827","118,389",75.2,0.4,76.5,0.4,"109,830",69.8,0.4,70.9,0.4
"32,219","30,204","20,844",64.7,1,69,1,"18,922",58.7,1,62.6,1
"16,094","11,530","7,354",45.7,1.5,63.8,1.7,"6,881",42.8,1.5,59.7,1.7
"42,468","30,627","18,719",44.1,1,61.1,1.1,"16,459",38.8,0.9,53.7,1.1
"199,610","185,983","137,710",69,0.4,74,0.4,"126,753",63.5,0.4,68.2,0.4
"34,471","32,275","22,241",64.5,0.9,68.9,0.9,"20,152",58.5,1,62.4,1
"17,273","12,641","8,157",47.2,1.4,64.5,1.6,"7,593",44,1.4,60.1,1.6
"3,769","3,716","2,527",67,3.1,68,3.1,"2,247",59.6,3.3,60.5,3.3
"1,780","1,755","1,187",66.7,4.5,67.6,4.5,"1,038",58.4,4.8,59.2,4.8
"1,990","1,960","1,340",67.3,4.3,68.4,4.3,"1,209",60.7,4.5,61.6,4.5
"2,657","2,619","1,860",70,3.6,71,3.6,"1,647",62,3.8,62.9,3.8
"2,587","2,569","1,825",70.6,3.6,71,3.6,"1,617",62.5,3.9,63,3.9
973,973,590,60.6,6.1,60.6,6.1,533,54.8,6.2,54.8,6.2
55,45,23,B,B,B,B,21,B,B,B,B
79,53,35,B,B,B,B,30,B,B,B,B
"2,692","2,654","1,883",69.9,3.6,70.9,3.6,"1,665",61.9,3.8,62.7,3.8
988,988,603,61,6,61,6,543,54.9,6.2,54.9,6.2
58,48,26,B,B,B,B,21,B,B,B,B
528,516,383,72.6,3.2,74.2,3.1,330,62.4,3.4,63.8,3.4
269,264,195,72.6,4.4,74.1,4.4,165,61.4,4.8,62.6,4.8
