18-24,22-24,45-64,65-74,75+,Total population,Total Citizen Population,Reported registered-Number,Reported registered-Percent,Reported not registered-Number,Reported not registered-Percent,No response to registration1 -Number,No response to registration1 -Percent,Reported voted-Number,Reported voted-Percent,Reported not voted-Number,Reported not voted-Percent,No response to voting2 -Number,No response to voting2 -Percent,Reported registered - total pop %,Reported voted - total pop %,"10,000 to 14,999","100,000 to 149,999","15,000 to 19,999","150,000 and over","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 74,999","75,000 to 99,999",Income not reported,"Under 10,000"
0,0,0,0,0,"3,083","2,571","1,523",59.2,629,24.5,419,16.3,"1,212",47.1,997,38.8,362,14.1,49.4,39.3,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,"3,359","2,762","1,745",63.2,645,23.4,371,13.4,"1,392",50.4,"1,011",36.6,358,13.0,52.0,41.5,True,False,False,False,False,False,False,False,False,False,False
0,0,0,0,0,"3,327","2,833","1,637",57.8,787,27.8,409,14.4,"1,412",49.8,"1,048",37.0,374,13.2,49.2,42.4,False,False,True,False,False,False,False,False,False,False,False
0,0,0,0,0,"9,142","7,774","5,124",65.9,"1,661",21.4,989,12.7,"4,357",56.1,"2,475",31.8,942,12.1,56.0,47.7,False,False,False,False,True,False,False,False,False,False,False
0,0,0,0,0,"12,794","10,829","7,637",70.5,"1,848",17.1,"1,345",12.4,"6,832",63.1,"2,708",25.0,"1,290",11.9,59.7,53.4,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,0,"9,948","8,637","6,616",76.6,"1,182",13.7,838,9.7,"5,923",68.6,"1,939",22.4,774,9.0,66.5,59.5,False,False,False,False,False,False,True,False,False,False,False
0,0,0,0,0,"25,741","23,430","18,412",78.6,"2,814",12.0,"2,204",9.4,"16,875",72.0,"4,474",19.1,"2,082",8.9,71.5,65.6,False,False,False,False,False,False,False,True,False,False,False
0,0,0,0,0,"20,431","19,092","15,771",82.6,"1,709",9.0,"1,611",8.4,"14,705",77.0,"2,792",14.6,"1,594",8.4,77.2,72.0,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,0,"24,215","23,125","19,691",85.1,"1,653",7.1,"1,782",7.7,"18,626",80.5,"2,729",11.8,"1,771",7.7,81.3,76.9,False,True,False,False,False,False,False,False,False,False,False
0,0,0,0,0,"27,595","26,167","23,008",87.9,"1,134",4.3,"2,025",7.7,"22,190",84.8,"1,990",7.6,"1,987",7.6,83.4,80.4,False,False,False,True,False,False,False,False,False,False,False
0,0,0,0,0,"40,586","37,664","20,992",55.7,"3,021",8.0,"13,650",36.2,"19,527",51.8,"4,607",12.2,"13,530",35.9,51.7,48.1,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,0,535,470,221,47.1,173,36.8,76,16.2,168,35.8,235,49.9,67,14.3,41.3,31.5,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,0,539,476,253,53.2,135,28.4,88,18.4,195,40.9,206,43.2,75,15.9,47.0,36.1,True,False,False,False,False,False,False,False,False,False,False
1,0,0,0,0,535,480,188,39.1,184,38.3,108,22.6,162,33.8,229,47.8,88,18.4,35.1,30.3,False,False,True,False,False,False,False,False,False,False,False
1,0,0,0,0,"1,081",997,465,46.7,391,39.3,140,14.1,332,33.3,538,54.0,127,12.7,43.0,30.7,False,False,False,False,True,False,False,False,False,False,False
1,0,0,0,0,"1,770","1,593",895,56.2,412,25.9,286,17.9,741,46.5,582,36.5,270,17.0,50.5,41.9,False,False,False,False,False,True,False,False,False,False,False
1,0,0,0,0,"1,210","1,078",632,58.6,271,25.1,176,16.3,519,48.2,393,36.5,165,15.3,52.2,42.9,False,False,False,False,False,False,True,False,False,False,False
1,0,0,0,0,"2,875","2,637","1,594",60.4,660,25.0,384,14.5,"1,334",50.6,921,34.9,382,14.5,55.4,46.4,False,False,False,False,False,False,False,True,False,False,False
1,0,0,0,0,"2,142","1,988","1,328",66.8,377,19.0,283,14.2,"1,173",59.0,528,26.6,286,14.4,62.0,54.8,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,0,"2,699","2,666","1,925",72.2,429,16.1,313,11.7,"1,724",64.6,645,24.2,297,11.1,71.3,63.9,False,True,False,False,False,False,False,False,False,False,False
1,0,0,0,0,"3,162","3,099","2,453",79.2,305,9.8,341,11.0,"2,266",73.1,498,16.1,335,10.8,77.6,71.7,False,False,False,True,False,False,False,False,False,False,False
1,0,0,0,0,"4,336","4,129","1,696",41.1,720,17.4,"1,713",41.5,"1,467",35.5,960,23.3,"1,702",41.2,39.1,33.8,False,False,False,False,False,False,False,False,False,True,False
0,1,0,0,0,"1,343","1,085",624,57.5,254,23.5,207,19.1,468,43.1,452,41.6,165,15.2,46.4,34.9,False,False,False,False,False,False,False,False,False,False,True
0,1,0,0,0,"1,290",957,618,64.6,233,24.4,105,11.0,466,48.7,384,40.1,107,11.2,47.9,36.1,True,False,False,False,False,False,False,False,False,False,False
0,1,0,0,0,"1,108",905,480,53.0,286,31.6,139,15.4,386,42.6,386,42.6,133,14.7,43.3,34.8,False,False,True,False,False,False,False,False,False,False,False
0,1,0,0,0,"3,199","2,499","1,591",63.7,601,24.1,306,12.3,"1,253",50.1,928,37.1,318,12.7,49.7,39.2,False,False,False,False,True,False,False,False,False,False,False
0,1,0,0,0,"4,567","3,562","2,311",64.9,771,21.6,481,13.5,"1,935",54.3,"1,166",32.7,462,13.0,50.6,42.4,False,False,False,False,False,True,False,False,False,False,False
0,1,0,0,0,"3,615","2,900","2,085",71.9,511,17.6,304,10.5,"1,774",61.2,853,29.4,273,9.4,57.7,49.1,False,False,False,False,False,False,True,False,False,False,False
0,1,0,0,0,"8,986","7,885","5,959",75.6,"1,195",15.2,731,9.3,"5,284",67.0,"1,915",24.3,686,8.7,66.3,58.8,False,False,False,False,False,False,False,True,False,False,False
0,1,0,0,0,"7,453","6,798","5,496",80.9,743,10.9,558,8.2,"4,917",72.3,"1,315",19.3,566,8.3,73.7,66.0,False,False,False,False,False,False,False,False,True,False,False
0,1,0,0,0,"9,111","8,504","7,198",84.6,675,7.9,630,7.4,"6,673",78.5,"1,199",14.1,632,7.4,79.0,73.2,False,True,False,False,False,False,False,False,False,False,False
0,1,0,0,0,"9,229","8,476","7,378",87.0,438,5.2,659,7.8,"7,058",83.3,786,9.3,632,7.5,79.9,76.5,False,False,False,True,False,False,False,False,False,False,False
