,column,unique_values,type,2020
VCF0888,DecCrimeFedSpending,3,rank,V201309
VCF0310,interestInElection,3,rank,V201006
VCF0713,PRE_IntentVote,4,cat,V201033
VCF0004,Year,9223372036854775807,num,
VCF0104,Sex,2,cat,V201600
VCF0301,PartyIDRepublican,7,rank,V201231x
VCF0839,IncSpendingServices,7,rank,V201246
VCF0130,WeakReligiousAttendence,5,rank,V201453
VCF0871,WorseEconomyView,5,rank,V201327x
VCF0838,AbortionRightsSC,4,cat,V201336
VCF0101,Age,96,num,V201507x
VCF0110,EducationLevel,4,cat,V201511x
VCF0114,Income,5,cat,V202468x
VCF0105a,Race,6,cat,V201549x
VCF0112,Region,4,cat,V203003
VCF0843,IncDefenseSpending,7,rank,V201249
VCF0806,IncPrivateMedInsurance,7,rank,V201252
VCF0703,RegistrationStatus,2,cat,V202068x
VCF0702,Voted,2,cat,V202109x
VCF0704a,VotePresident,2,cat,V202110x
VCF0127,HH_In_Union,2,cat,V201544
VCF0147,MaritalStatus,7,cat,V201508
VCF0606,FedTaxesNotWasted,3,rank,V201235
VCF0853,DecEmphasisOnTraditionalValues,5,rank,V202265
